TimeStamp;real;forecast
2026-02-19 00:00:00;7268.85275;6969.261769404987
2026-02-19 02:00:00;12100.627;9971.798831596005
2026-02-19 04:00:00;10702.27575;10875.15254165699
2026-02-19 06:00:00;8248.4395;6680.680654185344
2026-02-19 08:00:00;4039.48975;4015.001161255912
2026-02-19 10:00:00;14786.44175;6450.865010927522
2026-02-19 12:00:00;6134.2955;9387.666840409893
2026-02-19 14:00:00;5082.2665;8653.856266832581
2026-02-19 16:00:00;7212.4842499999995;7347.589967090941
2026-02-19 18:00:00;3599.6795;3741.5370280854995
2026-02-19 20:00:00;8432.911;8971.08571217491
2026-02-19 22:00:00;6621.494500000001;7547.4638279409155
