TimeStamp;real;forecast
2026-02-18 00:00:00;6842.64025;7071.119860390149
2026-02-18 02:00:00;7517.154500000001;8463.839579350635
2026-02-18 04:00:00;10454.313749999998;7395.194028264861
2026-02-18 06:00:00;5349.031;6275.952980142226
2026-02-18 08:00:00;3309.02425;4696.4944285056135
2026-02-18 10:00:00;5867.27375;6187.486059990935
2026-02-18 12:00:00;10108.61975;7524.285578847763
2026-02-18 14:00:00;11248.2025;6480.168480020169
2026-02-18 16:00:00;7310.998250000001;5948.43358782204
2026-02-18 18:00:00;3904.7945;4972.853354279527
2026-02-18 20:00:00;8931.222666666667;6833.376316224331
2026-02-18 22:00:00;7470.591;6008.1684640893
