TimeStamp;real;forecast
2026-02-14 00:00:00;5354.8275;5053.760103325703
2026-02-14 02:00:00;4783.95175;4981.729395893793
2026-02-14 04:00:00;6258.053250000001;5750.928340029784
2026-02-14 06:00:00;5398.4155;5306.692169387809
2026-02-14 08:00:00;5872.4295;4305.68698445313
2026-02-14 10:00:00;5470.455;4632.931811256822
2026-02-14 12:00:00;6484.9892500000005;6086.2892776879835
2026-02-14 14:00:00;6603.007;4698.554148048789
2026-02-14 16:00:00;9840.534;6394.018330131447
2026-02-14 18:00:00;8114.60325;8953.394314478006
2026-02-14 20:00:00;6875.30675;6829.077183384541
2026-02-14 22:00:00;7452.821;5033.112081469747
