file;step_hours;history_days;MAE;MSE;RMSE;MAPE;sMAPE;MaxError;MeanError;StdError
forecast_vs_real_1_h_step_15_days_update_data.csv;1;15;7328.814315621422;76175859.20421787;8727.878276203093;9.651263761394944;9.565854700317498;15209.794067954805;908.1521417315995;8680.502225775084
forecast_vs_real_1_h_step_30_days_update_data.csv;1;30;4233.606453639558;23715392.124721184;4869.845184882286;5.412237330175218;5.3716497987672795;7876.131159868804;433.6309635880177;4850.500624898312
forecast_vs_real_1_h_step_60_days_update_data.csv;1;60;6384.278070026022;55921367.89263549;7478.0590993008;8.018922450912736;8.228693171906567;12664.083404559788;3003.7636088268464;6848.267815654044
forecast_vs_real_2_h_step_15_days_update_data.csv;2;15;8156.042705665033;74790106.00830926;8648.127312216748;10.407333351274445;10.723191107952989;13077.763228911266;1606.401297852915;8497.622072001423
forecast_vs_real_2_h_step_30_days_update_data.csv;2;30;5431.529730267058;48099801.0194791;6935.402008498073;6.716400394307745;6.99518396903845;13776.902266624515;3986.144106587542;5675.425638751381
forecast_vs_real_2_h_step_60_days_update_data.csv;2;60;6899.034048280641;61989384.924088545;7873.333787163386;8.606504985123507;8.898673554063828;12994.630826362212;3294.9292499571557;7150.722072760577
forecast_vs_real_4_h_step_15_days_update_data.csv;4;15;11482.845682168638;184258297.80311242;13574.177610563094;13.912087496437199;13.751881969148144;27983.449341472922;-3092.2735472169948;13217.266817019867
forecast_vs_real_4_h_step_30_days_update_data.csv;4;30;9469.409577966586;168719187.62165442;12989.195033629083;11.251637265376688;12.374123072497168;30138.549244715774;5792.929685652317;11625.882903192452
forecast_vs_real_4_h_step_60_days_update_data.csv;4;60;8430.214218311223;111765083.46656686;10571.900655348916;10.411315097295361;11.13001932262947;23695.243242420154;5417.221480896579;9078.47976775184
forecast_vs_real_4_h_step_90_days_update_data.csv;4;90;7988.184714547318;108268315.88187966;10405.206191223682;9.660734925980554;10.202588741370544;20901.24018055979;3764.6894750168644;9700.27984331261
forecast_vs_real_6_h_step_30_days_update_data.csv;6;30;9908.23698844721;183412734.59932142;13542.99577639015;12.156332403929833;13.497101960340343;30522.42162219464;7273.308362582367;11424.172620461879
forecast_vs_real_6_h_step_60_days_update_data.csv;6;60;8302.598051113953;129007999.27157174;11358.168834436814;10.075525915007905;10.998451634040629;25255.829724226773;6937.114948057682;8993.577456663528
forecast_vs_real_6_h_step_90_days_update_data.csv;6;90;7877.165744055805;89327181.48077534;9451.30580823493;9.686674608228312;10.234531417967286;17472.77024840047;4473.208381596764;8325.718482845057
forecast_vs_real_8_h_step_30_days_update_data.csv;8;30;11763.85226919299;198407977.51537073;14085.73666924704;15.130209349559054;14.938978491144933;24084.55745639542;-2580.712940204554;13847.306533605424
forecast_vs_real_8_h_step_60_days_update_data.csv;8;60;9595.908058218394;128285068.20806628;11326.299846289885;11.966905527489278;12.470998491140701;20622.907355781645;4075.103390471052;10567.809638947781
forecast_vs_real_8_h_step_90_days_update_data.csv;8;90;9401.144592470517;125936908.90611748;11222.161507754086;11.640096043359671;12.04995396789856;20586.638784885683;4012.544482727572;10480.28604954321
forecast_vs_real_8_h_step_120_days_update_data.csv;8;120;8794.18443857966;108433852.13051055;10413.157644562505;10.688834063425418;11.044134441406529;17813.210323979583;2859.739014476514;10012.779079735628
forecast_vs_real_12_h_step_30_days_update_data.csv;12;30;13030.234864604106;244080521.40977725;15623.076566725815;15.907815754469693;16.50517398529031;32498.188807839295;2193.4847621154695;15468.327188424237
forecast_vs_real_12_h_step_60_days_update_data.csv;12;60;8984.165809520453;170253263.5447038;13048.113409405354;11.178286478150893;12.103701731983895;35147.099626581294;3103.699296069764;12673.606993444284
forecast_vs_real_12_h_step_90_days_update_data.csv;12;90;7396.943409358834;90400898.63527496;9507.938716424027;9.150112837254905;9.150837814714903;21646.25158836419;-513.0616828187572;9494.085861466503
forecast_vs_real_12_h_step_120_days_update_data.csv;12;120;6555.686676132872;62592167.37247164;7911.521179423818;8.131400596955158;8.315237081121952;17947.284696808652;1928.502615763018;7672.877233050638
