TimeStamp;real;forecast
2026-02-15 00:00:00;3933.857;3040.6096801106846
2026-02-15 01:00:00;3709.625;3043.7288757698693
2026-02-15 02:00:00;3698.68875;2878.3865380146867
2026-02-15 03:00:00;3668.341;2702.6812653413294
2026-02-15 04:00:00;3783.91125;2677.4107626738123
2026-02-15 05:00:00;3444.12875;2878.873655256844
2026-02-15 06:00:00;4090.44675;2844.2753837606456
2026-02-15 07:00:00;4660.0415;2995.485759473358
2026-02-15 08:00:00;3879.998;3110.3289323394793
2026-02-15 09:00:00;4359.39175;3375.3866788054866
2026-02-15 10:00:00;5136.501;3124.7778177608634
2026-02-15 11:00:00;4608.921;3181.103430911522
2026-02-15 12:00:00;3958.311;3028.1011790066286
2026-02-15 13:00:00;2757.3445;3070.246820394752
2026-02-15 14:00:00;3371.52475;3077.7537853756767
2026-02-15 15:00:00;3231.48225;3224.064142947266
2026-02-15 16:00:00;5022.667;3060.419222280432
2026-02-15 17:00:00;3789.986;4142.090444911322
2026-02-15 18:00:00;1972.2715;4411.925376945316
2026-02-15 19:00:00;1211.72575;3184.19017082324
2026-02-15 20:00:00;2768.893;3573.850266449799
2026-02-15 21:00:00;4284.85;3392.837397314991
2026-02-15 22:00:00;3674.49175;3033.751325189518
2026-02-15 23:00:00;3857.04075;2951.7278644433504
