window_hours;RMSE_agregace_1h;RMSE_prima;rozdil_RMSE;relativni_rozdil_%;lepsi_metoda
2;1330.8346031750584;1341.5820313582778;10.747428183219427;0.8011010830503035;agregace 1h
4;1998.3831273028352;2486.21609303586;487.8329657330248;19.62150301816056;agregace 1h
6;2614.940041201941;3857.0099052523847;1242.0698640504438;32.20292129296901;agregace 1h
8;3091.2099500161685;4837.101687474557;1745.891737458389;36.0937571765194;agregace 1h
12;4292.227795975062;8388.934839990792;4096.70704401573;48.834650908079134;agregace 1h
