TimeStamp;real;forecast
2026-02-10 00:00:00;2312.257;2825.354872260975
2026-02-10 01:00:00;3508.53925;2825.354872260975
2026-02-10 02:00:00;9471.00375;3380.7101526528972
2026-02-10 03:00:00;2507.72925;4312.294114444292
2026-02-10 04:00:00;2972.55975;3524.289091937895
2026-02-10 05:00:00;2895.0945;3271.9751383707085
2026-02-10 06:00:00;3762.63;2304.589705528216
2026-02-10 07:00:00;1682.6095;2446.7746918025614
2026-02-10 08:00:00;1487.9195;2381.6376082648876
2026-02-10 09:00:00;1356.70025;2338.031087915496
2026-02-10 10:00:00;1364.98375;2299.094844860062
2026-02-10 11:00:00;2677.9;2260.4489146050646
2026-02-10 12:00:00;5330.548999999999;2357.5741169214207
2026-02-10 13:00:00;7740.893;2767.8795436501346
2026-02-10 14:00:00;3047.54425;2769.5927800728346
2026-02-10 15:00:00;2543.38475;2580.4080527147025
2026-02-10 16:00:00;2576.1895;2647.119515365502
2026-02-10 17:00:00;1441.75025;2618.375120206586
2026-02-10 18:00:00;2448.04275;2296.940742066927
2026-02-10 19:00:00;3875.02825;2293.9111099380225
2026-02-10 20:00:00;4273.53175;2136.4993802949475
2026-02-10 21:00:00;2881.09475;2709.0439503395073
2026-02-10 22:00:00;2286.139;2968.6268959084146
2026-02-10 23:00:00;3057.192;2590.3531034756625
