TimeStamp;real;forecast
2026-02-20 00:00:00;3867.99625;5494.059075844375
2026-02-20 01:00:00;4055.60775;5494.059075844375
2026-02-20 02:00:00;9451.27575;4979.277018551482
2026-02-20 03:00:00;4159.24625;4494.876325252744
2026-02-20 04:00:00;3933.32325;6729.787318453674
2026-02-20 05:00:00;3965.308;6192.8768377605265
2026-02-20 06:00:00;3081.047;3795.8410090544803
2026-02-20 07:00:00;1578.28025;3259.1807888940702
2026-02-20 08:00:00;1920.72;3245.359734526617
2026-02-20 09:00:00;2495.72525;2389.9590952722956
2026-02-20 10:00:00;3282.589;2515.654553349959
2026-02-20 11:00:00;3600.80525;3615.6397312007857
2026-02-20 12:00:00;4432.64325;3911.746035695926
2026-02-20 13:00:00;7722.7155;4593.797925534351
2026-02-20 14:00:00;5859.075;4754.940281848812
2026-02-20 15:00:00;4898.7415;3963.6508821447646
2026-02-20 16:00:00;3938.408;3281.3447648986057
2026-02-20 17:00:00;2978.0745;3301.5538643857376
2026-02-20 18:00:00;2017.741;3509.38079216154
2026-02-20 19:00:00;1709.87025;2188.0438798006635
2026-02-20 20:00:00;2316.21225;1706.8485743235033
2026-02-20 21:00:00;4351.4605;4945.019085123346
2026-02-20 22:00:00;4562.4445;3712.17489132802
2026-02-20 23:00:00;3240.04275;3543.148215194921
