;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;18.901817238035953;74965.98775;68633.15035753278;6332.83739246722;8.447614154816788
1;2026-02-11;21.953848491198254;64179.608;69002.42918696713;4822.821186967129;7.514569404922399
2;2026-02-12;29.316606341346528;60030.19975;65492.256607748364;5462.056857748365;9.098848380474305
3;2026-02-13;17.733534338203707;65708.13725;62165.4399168452;3542.6973331547997;5.391565613366707
4;2026-02-14;20.134931192390326;78509.39374999999;65841.93067773146;12667.463072268525;16.13496483313314
5;2026-02-15;33.84738942577052;88874.44;73887.53795513292;14986.902044867078;16.863005882081595
6;2026-02-16;20.63960868622511;98799.76975;79371.22004958763;19428.549700412375;19.664569815874874
7;2026-02-17;20.796649415078132;87142.07925;92098.32567935479;4956.246429354796;5.687546673216197
8;2026-02-18;14.058943872055199;86570.28541666667;86768.14572471956;197.8603080528992;0.22855452895943298
9;2026-02-19;16.562190218669983;92254.92525;96139.11495846455;3884.189708464546;4.210278961192423
10;2026-02-20;24.15828177952597;93444.75558333335;90701.84741063433;2742.9081726990116;2.9353259640696545
