;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;17.79754596577192;74965.98775;79084.58269256448;4118.594942564479;5.493951412071509
1;2026-02-11;26.979447355750203;64179.60799999999;72964.85106389469;8785.243063894697;13.688527146963406
2;2026-02-12;33.28632889169247;60030.19974999999;71696.6270297935;11666.427279793505;19.434263634602527
3;2026-02-13;22.220317646549596;65708.13725;50188.666139581204;15519.471110418795;23.618796331680816
4;2026-02-14;14.58657431953124;78509.39375;68026.17413954755;10483.219610452448;13.35282201240084
5;2026-02-15;28.682670920731763;88874.44;74113.96147286631;14760.478527133688;16.608238012114267
6;2026-02-16;41.8005424381233;98799.76975;98846.19268929075;46.42293929074367;0.046986890159978
7;2026-02-17;16.779366445660784;87142.07925000001;81086.35216257257;6055.72708742744;6.949257051870769
8;2026-02-18;20.544646243178164;86570.28541666667;91506.44999257383;4936.164575907169;5.70191556161469
9;2026-02-19;23.01036197387174;92254.92525;90930.72902090801;1324.196229091991;1.435366432202481
10;2026-02-20;15.25152577343674;93444.75558333335;94405.70087639036;960.9452930570114;1.0283565803755006
