;day;mape;real_total;forecast_total;abs_error;perc_error;prediction_time_seconds
0;2026-02-10;20.051977462189544;74965.98775;70882.43977577196;4083.547974228044;5.447200919763835;12.668941200012341
1;2026-02-11;24.432484769272236;64179.608;69960.54448050319;5780.936480503187;9.007435010359034;13.332348500029184
2;2026-02-12;28.96528721768785;60030.19975;62289.009657938506;2258.8099079385065;3.7627892583157805;19.255469499970786
3;2026-02-13;16.140498980570772;65708.13725;65825.26089974356;117.12364974356024;0.17824831846615805;14.905985499965027
4;2026-02-14;21.948177091294973;78509.39374999999;81228.26197461743;2718.868224617443;3.4631119853953063;13.127192300045863
5;2026-02-15;37.15185868054915;88874.44;85539.48933337811;3334.950666621895;3.752429457357925;14.033040400012396
6;2026-02-16;18.22413615694313;98799.76975;82658.01729437706;16141.752455622947;16.337844203956706;22.18968579999637
7;2026-02-17;18.746697548193293;87142.07925;89842.16961866088;2700.09036866088;3.0984920166004417;12.630642699892633
8;2026-02-18;12.826638552701134;86570.28541666667;83083.38977869425;3486.8956379724114;4.027820424975875;10.178011199925095
9;2026-02-19;20.96901812312624;92254.92525;89641.69711973911;2613.22813026089;2.83261638679924;11.100228299968876
10;2026-02-20;20.63385644407414;93444.75558333335;96359.82412980613;2915.0685464727867;3.119563562743925;22.761871200054884
11;2026-02-21;15.609844353349441;83774.37575;76970.75992524184;6803.6158247581625;8.121356636618282;17.46539260004647
12;2026-02-22;18.12448096233905;63533.210250000004;67172.65012690492;3639.439876904915;5.728405447456379;10.22018060006667
13;2026-02-23;29.227258722259574;73327.593;64265.41496664197;9062.178033358025;12.35848288836922;11.514530099928379
14;2026-02-24;36.79278678358134;75496.60525;76867.30362509053;1370.6983750905347;1.815576171341207;18.525746200000867
15;2026-02-25;30.669834423894905;65780.8533125;76839.80721631541;11058.953903815418;16.811812779743832;18.555742099997588
16;2026-02-26;64.6120752662013;60501.15256250001;72355.57878419559;11854.426221695583;19.593719655918136;15.814886700012721
17;2026-02-27;48.795688062963244;53802.44900000001;64154.03558161213;10351.586581612122;19.239991439073936;17.13431120000314
18;2026-02-28;38.268183618873806;51760.787500000006;58117.85774129974;6357.070241299734;12.28163354605015;13.084582600044087
19;2026-03-01;33.784322624123526;58923.86525;64888.88957845871;5965.024328458705;10.123273996284052;11.194618199951947
20;2026-03-02;39.421722085681914;69369.281;63671.20586215513;5698.0751378448695;8.214118779528462;10.480080400011502
21;2026-03-03;35.009555710484456;71170.313;58670.368682090884;12499.94431790911;17.563424679485546;10.270261700032279
22;2026-03-04;38.29397244392754;72816.35274999999;65075.5454086507;7740.807341349289;10.63058921383465;12.490406499942765
23;2026-03-05;35.27430593115192;66782.51125000001;76150.28828112417;9367.777031124162;14.027290761882155;11.776501800050028
24;2026-03-06;23.116251811844933;70213.0125;64959.58838765264;5253.424112347355;7.482123220887801;11.542659500031732
25;2026-03-07;48.62204179997313;54811.24575;68392.20797607995;13580.962226079952;24.777693045007922;10.124273700057529
26;2026-03-08;27.007888636160704;53269.32725;57698.437684895085;4429.110434895083;8.314560486391507;10.97929629997816
27;2026-03-09;34.87230613813323;57151.748;56855.11921990997;296.6287800900318;0.5190196108962963;9.875562399975024
28;2026-03-10;24.285647917008422;66830.56975;60259.80041239033;6570.769337609665;9.831981624860628;9.859192200005054
