;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;16.027422024922565;74965.98775;70176.89906192443;4789.088688075572;6.388348678932163
1;2026-02-11;16.201618155421315;64179.60799999999;70832.34391233361;6652.735912333621;10.365809514345463
2;2026-02-12;27.067122607997895;60030.19974999999;64645.4562021438;4615.256452143811;7.688224379336354
3;2026-02-13;14.136929929643829;65708.13725;59340.72083580153;6367.416414198473;9.690453390837027
4;2026-02-14;14.66451690544818;78509.39375;65514.76292363779;12994.630826362212;16.5516891745992
5;2026-02-15;28.329216361277908;88874.44;76713.1786927466;12161.2613072534;13.683643246869853
6;2026-02-16;13.26864908335266;98799.76975;85977.8786906765;12821.891059323505;12.977652773652851
7;2026-02-17;16.794981800594392;87142.07925000001;93107.37549525514;5965.296245255129;6.845483027942702
8;2026-02-18;13.199574913774237;86570.28541666667;89159.57319771328;2589.287781046616;2.9909659747386277
9;2026-02-19;14.611662600027428;92254.92525;87150.41354724292;5104.511702757081;5.533050608327366
10;2026-02-20;13.44922128677175;93444.75558333335;91616.75744099573;1827.9981423376157;1.9562340667769424
