TimeStamp;P_HOME;temperature;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6
2025-05-23 05:00:00;-2180.6686363636363;1.3;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 06:00:00;-1055.7485;3.2;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 07:00:00;-350.47525;4.8;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 08:00:00;-362.442;6.2;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 09:00:00;-1255.1318333333334;7.4;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 10:00:00;-2863.89525;7.8;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 11:00:00;-3392.1554166666665;8.5;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 12:00:00;-3195.7269166666665;8.8;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 13:00:00;-883.2000833333333;8.8;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 14:00:00;-637.5872499999999;9.6;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 15:00:00;-4659.623916666666;9.6;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 16:00:00;-1364.6239166666667;9.5;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 17:00:00;-322.09999999999997;9.4;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 18:00:00;-313.0;7.9;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 19:00:00;-313.0;6.4;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 20:00:00;-313.0;4.3;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 21:00:00;-420.5258333333333;3.6;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 22:00:00;-793.4195;3.8;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-23 23:00:00;-3240.71225;3.7;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-24 00:00:00;-1009.5813333333332;3.2;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 01:00:00;-617.66725;2.8;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 02:00:00;-2970.9346666666665;2.8;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 03:00:00;-2060.2183333333332;2.2;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 04:00:00;-1507.8885;2.0;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 05:00:00;-3197.05175;3.0;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 06:00:00;-3199.0;5.1;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 07:00:00;-3199.0;6.1;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 08:00:00;-3199.0;7.1;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 09:00:00;-975.2229166666666;8.1;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 10:00:00;-537.5913333333334;8.6;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 11:00:00;-689.78125;9.3;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 12:00:00;-417.60324999999995;9.7;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 13:00:00;-482.75558333333333;9.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 14:00:00;-483.0;9.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 15:00:00;-483.0;9.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 16:00:00;-483.0;10.4;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 17:00:00;-1635.348857142857;10.4;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 18:00:00;-1208.0151785714284;9.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 19:00:00;-780.6814999999999;9.2;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 20:00:00;-361.13725;6.2;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 21:00:00;-239.25558333333333;4.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 22:00:00;-237.0;4.6;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-24 23:00:00;-237.0;4.2;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-25 00:00:00;-551.5286666666667;4.9;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 01:00:00;-3665.2979166666664;4.8;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 02:00:00;-2348.260333333333;4.2;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 03:00:00;-1882.5217499999999;4.0;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 04:00:00;-1271.4295833333333;4.3;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 05:00:00;-3067.616666666667;5.0;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 06:00:00;-3191.0;6.8;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 07:00:00;-3191.0;8.4;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 08:00:00;-3191.0;9.7;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 09:00:00;-759.5645833333333;10.9;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 10:00:00;-4583.656083333333;11.6;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 11:00:00;-4138.665083333333;12.7;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 12:00:00;-3003.777666666667;11.8;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 13:00:00;-2453.195416666667;11.2;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 14:00:00;-2438.0;11.9;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 15:00:00;-2438.0;10.9;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 16:00:00;-2438.0;11.4;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 17:00:00;-524.11575;10.9;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 18:00:00;-638.272;10.4;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 19:00:00;-979.7398333333334;9.6;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 20:00:00;-461.8098333333333;9.1;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 21:00:00;-328.4334166666667;8.8;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 22:00:00;-320.86483333333337;8.6;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-25 23:00:00;-268.9839166666667;8.6;False;False;False;False;False;True;False;False;False;False;False;True
2025-05-26 00:00:00;-3187.787166666667;8.4;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 01:00:00;-3313.990416666667;8.4;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 02:00:00;-1206.6508333333334;8.9;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 03:00:00;-1321.9385;8.9;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 04:00:00;-1110.8285833333332;9.1;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 05:00:00;-772.3281666666667;9.8;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 06:00:00;-1374.4995833333332;10.1;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 07:00:00;-470.56391666666667;10.4;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 08:00:00;-427.8205;10.4;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 09:00:00;-1650.309;11.1;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 10:00:00;-952.7865833333334;11.9;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 11:00:00;-610.9720000000001;11.9;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 12:00:00;-1191.095;10.8;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 13:00:00;-529.8351666666666;11.8;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 14:00:00;-456.0733333333333;13.6;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 15:00:00;-535.0356666666667;13.5;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 16:00:00;-3106.6787499999996;14.3;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 17:00:00;-1971.8944166666668;14.3;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 18:00:00;-1327.8019166666666;13.5;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 19:00:00;-949.5084166666667;11.9;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 20:00:00;-781.6135833333333;10.1;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 21:00:00;-462.70975;8.9;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 22:00:00;-459.0;8.0;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-26 23:00:00;-459.0;8.1;False;False;False;False;False;False;False;False;False;False;False;False
2025-05-27 00:00:00;-2046.8062499999999;9.0;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 01:00:00;-1288.3318333333334;8.9;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 02:00:00;-1305.2426666666668;8.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 03:00:00;-1332.56275;8.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 04:00:00;-1336.9675;8.8;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 05:00:00;-1451.3457500000002;8.9;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 06:00:00;-1446.1312500000001;10.4;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 07:00:00;-371.60774999999995;12.0;True;False;False;False;False;False;True;False;False;False;False;False
