;day;mape;real_total;forecast_total;abs_error;perc_error;prediction_time_seconds
0;2026-02-10;20.261264786732422;74965.98775;70603.87416576217;4362.113584237828;5.818790247631771;41.840735299978405
1;2026-02-11;22.12955273065882;64179.608;71487.32499549058;7307.716995490577;11.386353427852935;37.70828929997515
2;2026-02-12;25.330940855790356;60030.19975;60686.099851478386;655.9001014783862;1.0926168898486568;43.4701342000626
3;2026-02-13;17.84338562587948;65708.13725;60915.98498833449;4792.152261665513;7.293087983049638;43.54665809997823
4;2026-02-14;19.459791863273534;78509.39374999999;72002.16415842122;6507.229591578769;8.288472602781715;37.37521119997837
5;2026-02-15;29.36324153462822;88874.44;83057.99408664175;5816.445913358257;6.544565471645454;39.50405340001453
6;2026-02-16;17.096379425151106;98799.76975;84896.00497156504;13903.764778434968;14.072669211291322;47.2424981999211
7;2026-02-17;17.10041362780156;87142.07925;84067.42667685988;3074.65257314012;3.5283213340816864;39.05267240002286
8;2026-02-18;12.740799566653191;86570.28541666667;86925.6000387519;355.3146220852359;0.4104348511444669;40.14246539992746
9;2026-02-19;13.912003276503551;92254.92525;93317.00910400953;1062.0838540095283;1.1512489453884505;36.84951580001507
10;2026-02-20;20.772101012793552;93444.75558333335;92216.11747384272;1228.6381094906246;1.3148283194929373;40.89476830000058
11;2026-02-21;13.542917782775904;83774.37575;83487.68390279874;286.69184720126214;0.3422190194013617;41.45329760003369
12;2026-02-22;25.842697115824283;63533.210250000004;76060.7217207188;12527.51147071879;19.71805205722119;45.345143600017764
13;2026-02-23;29.54107262671961;73327.593;66534.62297522862;6792.970024771377;9.263866093042735;35.574031300027855
14;2026-02-24;31.004608740369715;75496.60525;74767.19684224669;729.4084077533043;0.966147292766259;33.13053239998408
15;2026-02-25;27.358270691446613;65780.8533125;73703.02845929268;7922.175146792681;12.043284250445062;39.26770669990219
16;2026-02-26;61.38207767027657;60501.15256250001;68346.21270179382;7845.0601392938115;12.966794527078743;41.705497399903834
17;2026-02-27;47.97996998135376;53802.44900000001;63842.23920333151;10039.790203331504;18.660470647593574;39.977992100059055
18;2026-02-28;40.730486176091134;51760.787500000006;60267.70192991295;8506.914429912948;16.43505603525245;38.84525490005035
19;2026-03-01;31.945175221127386;58923.86525;66525.10771307824;7601.242463078233;12.900108353089129;39.00410359993111
20;2026-03-02;36.3553923429672;69369.281;64367.05335564383;5002.227644356171;7.211012673399586;41.402869799989276
21;2026-03-03;37.42501509657927;71170.313;63320.54736913367;7849.765630866328;11.029550524621591;44.1996397000039
22;2026-03-04;35.082183411018555;72816.35274999999;64833.28711320955;7983.065636790438;10.963286865243932;40.08142299996689
23;2026-03-05;30.751108043013435;66782.51125000001;72133.59289202167;5351.081642021658;8.012699046296582;34.13426920003258
24;2026-03-06;23.663915556273725;70213.0125;63617.164716026295;6595.8477839737025;9.394053251843742;35.41970690002199
25;2026-03-07;38.13293088708426;54811.24575;59401.283339203874;4590.037589203872;8.374262482811517;45.786589599912986
26;2026-03-08;29.84752844178125;53269.32725;56592.79263230687;3323.4653823068656;6.238985085562284;37.61459830007516
27;2026-03-09;29.107499512001873;57151.748;56438.90606244831;712.8419375516896;1.2472793265250428;32.35964179993607
28;2026-03-10;23.456508374512378;66830.56975;60971.358447997336;5859.211302002659;8.7672622333175;34.54440349992365
