;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;48.34401926234393;77501.26574999999;80798.9047988127;3297.639048812707;4.254948634581117
1;2026-02-11;67.80659475456616;60637.33375;78017.04478089578;17379.711030895785;28.66173354941713
2;2026-02-12;36.7608908699508;62008.413250000005;67733.96271206695;5725.5494620669415;9.233504232696909
3;2026-02-13;45.45909389539837;67580.215;70168.97730393255;2588.7623039325554;3.830651180870844
4;2026-02-14;34.36530738473744;80156.339;85615.75295503394;5459.413955033931;6.810957215790421
5;2026-02-15;52.61948947076217;94187.463;99154.3356459132;4966.872645913201;5.273390414935798
6;2026-02-16;30.905763407085924;100354.38325000001;89686.2529021492;10668.13034785082;10.630457786058706
7;2026-02-17;30.64313713007289;88910.2355;85225.30552250723;3684.929977492764;4.144550913367858
8;2026-02-18;30.458720888428086;88313.86616666667;84824.97106448721;3488.8951021794637;3.950563205550521
9;2026-02-19;30.3243932848608;94229.25774999999;89007.94618918361;5221.311560816379;5.541072577127861
10;2026-02-20;31.528720166631814;93419.353;94050.17115386284;630.8181538628414;0.6752542525774519
