;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;37.24897311754308;77501.26574999999;66680.14979258561;10821.115957414382;13.962502228441842
1;2026-02-11;53.6505141435079;60637.33375;72917.86413758146;12280.530387581464;20.252424749103458
2;2026-02-12;36.80513293494651;62008.413250000005;60451.3979578045;1557.0152921955087;2.5109742542807423
3;2026-02-13;53.92233578643864;67580.215;71264.7498045232;3684.5348045232095;5.452090977401018
4;2026-02-14;33.90304589717803;80156.339;68338.75439564392;11817.584604356089;14.743169101518081
5;2026-02-15;62.57268758770306;94187.463;88903.23256485807;5284.23043514193;5.6103331237852005
6;2026-02-16;41.702992419991915;100354.38325000001;96851.68435130778;3502.698898692237;3.490329754671913
7;2026-02-17;36.55959944717899;88910.2355;88677.36228350893;232.8732164910616;0.2619194687557223
8;2026-02-18;40.06308549021125;88313.86616666667;91610.67004270555;3296.8038760388736;3.733053504663829
9;2026-02-19;30.27307732661328;94229.25774999999;90710.59987615122;3518.6578738487733;3.7341458034023125
10;2026-02-20;28.95246277129115;93419.353;93941.13625190871;521.7832519087096;0.5585387129674402
