;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;36.38017628511639;77501.26574999999;64906.879405858694;12594.386344141298;16.250555680945507
1;2026-02-11;50.329660400038456;60637.33375;67379.1960040153;6741.862254015308;11.118335581526633
2;2026-02-12;34.39300780654307;62008.413250000005;62560.43649054029;552.0232405402858;0.890239262073499
3;2026-02-13;36.31763995714003;67580.215;60814.412655823646;6765.802344176351;10.011513494262116
4;2026-02-14;33.06781755312863;80156.339;70407.10141562058;9749.237584379429;12.162778023556475
5;2026-02-15;33.45667948328113;94187.463;72045.91605204517;22141.546947954834;23.50795556299763
6;2026-02-16;35.76325044953053;100354.38325000001;94053.08911612316;6301.294133876858;6.279042259847537
7;2026-02-17;35.143659426307124;88910.2355;96721.38373269208;7811.148232692081;8.785431945787705
8;2026-02-18;34.24939611484728;88313.86616666667;90987.49291914474;2673.6267524780706;3.027414457693857
9;2026-02-19;32.88619486174025;94229.25774999999;90885.08086096062;3344.1768890393723;3.548979339210992
10;2026-02-20;33.672413779531965;93419.353;98411.22617227797;4991.873172277963;5.343510752293438
