;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;28.530012797320513;77501.26575;60308.29206663929;17192.973683360717;22.184119855307934
1;2026-02-11;37.25257443508333;60637.333750000005;67769.61083733474;7132.277087334733;11.762187824319916
2;2026-02-12;8.94296568621937;62008.413250000005;55694.87835061354;6313.534899386468;10.181739168090175
3;2026-02-13;15.198673383633304;67580.21500000001;60040.42967552897;7539.785324471042;11.156793929215882
4;2026-02-14;27.41740279955061;80156.339;58074.21112532679;22082.12787467322;27.548822900548416
5;2026-02-15;21.813394559624847;94187.46299999999;72485.56339359879;21701.899606401203;23.041176516667832
6;2026-02-16;12.234644611656572;100354.38325000001;85976.01905779462;14378.364192205394;14.327589614482925
7;2026-02-17;25.473224230177543;88910.2355;105247.60961801473;16337.374118014734;18.37513310603562
8;2026-02-18;20.283623170784487;88313.86616666667;93413.52729465737;5099.661127990694;5.774473872955093
9;2026-02-19;19.977922341006106;94229.25774999999;93195.58577051279;1033.6719794872042;1.0969756147603786
10;2026-02-20;17.294391797404423;93419.353;93738.37139106875;319.0183910687483;0.3414906877686771
