date;forecast;actual;weather_combo
2026-02-10 00:00:00;3516.1411737706585;2312.257;['temperature']
2026-02-10 01:00:00;3273.368178770484;2445.75475;['temperature']
2026-02-10 02:00:00;2529.149815761755;2738.38875;['temperature']
2026-02-10 03:00:00;2691.9428370599358;2507.56425;['temperature']
2026-02-10 04:00:00;2472.5131266196813;2972.28575;['temperature']
2026-02-10 05:00:00;3461.785414715739;2894.95425;['temperature']
2026-02-10 06:00:00;3085.2277516407885;3762.406;['temperature']
2026-02-10 07:00:00;2960.5993823774043;2580.2795;['temperature']
2026-02-10 08:00:00;3219.813316749883;4036.3455;['temperature']
2026-02-10 09:00:00;2682.850856114019;3671.19375;['temperature']
2026-02-10 10:00:00;3740.717363689349;2416.94175;['temperature']
2026-02-10 11:00:00;3374.9144586271595;2677.89175;['temperature']
2026-02-10 12:00:00;3066.508116552917;1806.73475;['temperature']
2026-02-10 13:00:00;3225.614141720845;3154.1665;['temperature']
2026-02-10 14:00:00;2869.4751157002574;2227.19575;['temperature']
2026-02-10 15:00:00;2262.8930833595377;2543.43525;['temperature']
2026-02-10 16:00:00;3339.2826033530678;2576.265;['temperature']
2026-02-10 17:00:00;3524.867928515696;5342.617;['temperature']
2026-02-10 18:00:00;4503.158355432583;5926.32475;['temperature']
2026-02-10 19:00:00;3384.5152003396915;3875.02825;['temperature']
2026-02-10 20:00:00;3891.3842713253066;4273.53175;['temperature']
2026-02-10 21:00:00;3887.2300086659698;2881.09475;['temperature']
2026-02-10 22:00:00;3671.6248105229215;2286.139;['temperature']
2026-02-10 23:00:00;3706.16976489604;3057.192;['temperature']
2026-02-11 00:00:00;2557.06010521018;2366.50825;['temperature']
2026-02-11 01:00:00;2741.7031010486644;2711.8525;['temperature']
2026-02-11 02:00:00;2626.949541472936;2083.15775;['temperature']
2026-02-11 03:00:00;2711.1895589915725;2465.2165000000005;['temperature']
2026-02-11 04:00:00;2624.007207505917;2897.0037500000003;['temperature']
