;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;35.672858962194034;77501.26574999999;67340.2450120786;10161.020737921397;13.110780371895277
1;2026-02-11;64.6039981008895;60637.33375;75302.23488648537;14664.901136485372;24.184607451486723
2;2026-02-12;32.62485595775587;62008.413250000005;61183.04756006574;825.3656899342677;1.3310543629081941
3;2026-02-13;33.195548340183976;67580.215;59656.01501003664;7924.199989963359;11.725621159925815
4;2026-02-14;29.225969239805078;80156.339;66863.88091338491;13292.458086615094;16.58316516503466
5;2026-02-15;33.81907832290054;94187.463;85823.39449835592;8364.068501644084;8.880235474273347
6;2026-02-16;34.227735390497244;100354.38325000001;94138.2885355003;6216.094714499719;6.194143706722166
7;2026-02-17;38.42500692952428;88910.2355;92531.0360549399;3620.8005549399095;4.072422634556974
8;2026-02-18;30.58855482795571;88313.86616666667;80936.55561719125;7377.310549475427;8.353513292638445
9;2026-02-19;34.477267381638164;94229.25774999999;93740.79458801937;488.46316198061686;0.5183773847360237
10;2026-02-20;32.67355726939486;93419.353;93496.92464767667;77.57164767666836;0.08303595045950314
