TimeStamp;real;forecast
2026-02-20 00:00:00;3867.99625;3555.3186478901275
2026-02-20 01:00:00;4055.60775;3555.3186478901275
2026-02-20 02:00:00;9451.27575;4234.38789940809
2026-02-20 03:00:00;4159.24625;5330.2898548533285
2026-02-20 04:00:00;3933.32325;6018.382854428952
2026-02-20 05:00:00;3965.308;5626.476774057464
2026-02-20 06:00:00;3081.047;3325.283342959539
2026-02-20 07:00:00;1578.28025;3269.469679509042
2026-02-20 08:00:00;1920.72;3036.505265345111
2026-02-20 09:00:00;2495.72525;2661.585966809663
2026-02-20 10:00:00;3282.589;2177.004930136149
2026-02-20 11:00:00;3600.80525;5545.838948846361
2026-02-20 12:00:00;4432.64325;4969.067628364254
2026-02-20 13:00:00;7722.7155;4691.6590258061315
2026-02-20 14:00:00;5859.075;4927.308886244109
2026-02-20 15:00:00;4898.7415;4307.500142674966
2026-02-20 16:00:00;3938.408;3584.371740660161
2026-02-20 17:00:00;2978.0745;3466.229744280526
2026-02-20 18:00:00;2017.741;3189.6126715245964
2026-02-20 19:00:00;1709.87025;1862.9136518270388
2026-02-20 20:00:00;2316.21225;1713.6124012454256
2026-02-20 21:00:00;4351.4605;4588.174373586899
2026-02-20 22:00:00;4562.4445;3704.019638938924
2026-02-20 23:00:00;3240.04275;3169.6762203893463
