;day;mape;real_total;forecast_total;abs_error;perc_error;prediction_time_seconds
0;2026-02-10;20.183325236637874;74965.98775;73527.74445783191;1438.2432921680884;1.9185277688388604;28.578626200091094
1;2026-02-11;23.182260357780446;64179.608;71998.60478457378;7818.996784573777;12.182992430514343;25.652599600027315
2;2026-02-12;25.750344308504143;60030.19975;61620.89863302829;1590.6988830282935;2.649831067784001;22.37428450002335
3;2026-02-13;18.203688952179245;65708.13725;63990.606523442526;1717.5307265574738;2.6138782781541625;28.116280799964443
4;2026-02-14;19.96369595984108;78509.39374999999;79583.75636954888;1074.3626195488905;1.3684510454507117;26.678576600039378
5;2026-02-15;37.298375878531914;88874.44;91962.1420662126;3087.7020662126015;3.474229560504236;23.76132160006091
6;2026-02-16;17.248200133051736;98799.76975;87206.43701221643;11593.332737783581;11.734169793228268;24.73220319999382
7;2026-02-17;16.431412598228174;87142.07925;79207.51523609765;7934.564013902345;9.1053186728986;22.58083639992401
8;2026-02-18;10.958705001093122;86570.28541666667;81951.09529533969;4619.190121326974;5.335768617481858;26.67177819996141
9;2026-02-19;13.715044562559614;92254.92525;91503.2227968718;751.7024531281932;0.8148101048168084;24.504838600056246
10;2026-02-20;20.618544157033707;93444.75558333335;94114.35314273548;669.5975594021293;0.7165705075925711;22.306740600033663
11;2026-02-21;14.443533046035299;83774.37575;76512.16639498266;7262.209355017345;8.668771673917659;23.935166899929754
12;2026-02-22;15.771842817205453;63533.210250000004;61819.64512240049;1713.5651275995115;2.6971171783335337;23.029186800005846
13;2026-02-23;30.18520462782504;73327.593;60385.54643625518;12942.046563744814;17.649626878854203;22.556508200010285
14;2026-02-24;32.000524110798274;75496.60525;74026.38324621886;1470.2220037811348;1.9474014744274015;24.288529600016773
15;2026-02-25;29.297409720136407;65780.8533125;73141.01858501154;7360.165272511542;11.188917294134473;30.53098839998711
16;2026-02-26;60.92353068975971;60501.15256250001;68495.86136893813;7994.708806438124;13.214142983770902;22.012532900087535
17;2026-02-27;40.98141805268212;53802.44900000001;60062.33509026287;6259.886090262866;11.63494637625671;18.414192499942146
18;2026-02-28;35.487559420339785;51760.787500000006;56931.193612757925;5170.406112757919;9.989040666658942;23.10865269997157
19;2026-03-01;34.66658784920898;58923.86525;66288.50282632594;7364.637576325942;12.498564961886885;24.375883000087924
20;2026-03-02;36.759843100433145;69369.281;61379.24084282382;7990.040157176183;11.5181245098622;28.969841299927793
21;2026-03-03;39.85489899591943;71170.313;62554.46299307834;8615.850006921653;12.105960538520682;18.81336020003073
22;2026-03-04;38.14199711260923;72816.35274999999;62475.88025160712;10340.472498392868;14.200755885006707;22.000901599996723
23;2026-03-05;27.166399986759217;66782.51125000001;71645.94153325474;4863.4302832547255;7.282490868078467;19.667506800033152
24;2026-03-06;25.88321282731326;70213.0125;66253.91816961524;3959.09433038476;5.638690307419526;23.698511299910024
25;2026-03-07;49.93178671810415;54811.24575;67426.49128196805;12615.245531968045;23.015797870217252;14.389120500069112
26;2026-03-08;31.255320173853317;53269.32725;58642.27113945424;5372.94388945424;10.08637459271506;18.129136299947277
27;2026-03-09;29.088700179548294;57151.748;57461.90927756867;310.16127756867354;0.542697797394882;19.098340199911036
28;2026-03-10;23.7800538824985;66830.56975;62388.62490993335;4441.944840066644;6.646576344752238;20.07462840003427
