;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;43.20924847131981;77501.26574999999;82376.2614031977;4874.995653197708;6.290214238465787
1;2026-02-11;72.21208774367082;60637.33375;80693.53326631268;20056.199516312678;33.075661932963335
2;2026-02-12;49.215979687581886;62008.413250000005;77370.68070023158;15362.267450231571;24.774488887976133
3;2026-02-13;46.47212788127996;67580.215;74714.18040480933;7133.965404809336;10.556292851109362
4;2026-02-14;48.363461004341254;80156.339;94757.2207596085;14600.8817596085;18.215504776993992
5;2026-02-15;39.77176022048742;94187.463;95871.91474056622;1684.451740566219;1.788403346808714
6;2026-02-16;28.811288927658858;100354.38325000001;92685.74946445052;7668.633785549493;7.641553400259168
7;2026-02-17;32.43550718769409;88910.2355;90027.05018301297;1116.81468301297;1.2561148631902679
8;2026-02-18;31.75504496675358;88313.86616666667;93018.1502726902;4704.284106023522;5.326778579872789
9;2026-02-19;30.98247389396213;94229.25774999999;100588.57248472475;6359.314734724758;6.748768786438582
10;2026-02-20;32.505791413902095;93419.353;99824.03282070198;6404.679820701975;6.855838340800727
