;day;mape;real_total;forecast_total;abs_error;perc_error
0;2026-02-10;17.783371536653746;74965.98775;69081.03404836683;5884.953701633174;7.850164959152658
1;2026-02-11;22.213804116784008;64179.608;68878.22380962681;4698.615809626812;7.3210416143813335
2;2026-02-12;28.856241537577887;60030.19975;64518.05251643786;4487.8527664378635;7.475991726044295
3;2026-02-13;17.953717942268142;65708.13725;62800.36214089;2907.77510911;4.425289211968948
4;2026-02-14;18.96439948851263;78509.39374999999;68098.40162308974;10410.992126910249;13.26082348828512
5;2026-02-15;32.62414340070553;88874.44;76004.00677630087;12870.433223699132;14.481591359336985
6;2026-02-16;20.719775028930666;98799.76975;78874.65998622551;19925.109763774497;20.16716214439811
7;2026-02-17;20.776903309366006;87142.07925;90256.28391128076;3114.204661280761;3.5737093813730194
8;2026-02-18;13.525137291405127;86570.28541666667;86797.00178725104;226.71637058437045;0.2618870545397585
9;2026-02-19;14.079450163254306;92254.92525;93718.81010121052;1463.8848512105178;1.5867823286871265
10;2026-02-20;22.77820109557215;93444.75558333335;90982.0736686142;2462.681914719142;2.635441549764599
