TimeStamp;real;forecast
2026-02-19 00:00:00;3798.69625;3846.232783205874
2026-02-19 01:00:00;3470.1565;3846.232783205874
2026-02-19 02:00:00;3887.978;4111.974753218443
2026-02-19 03:00:00;8212.649;4741.702423714917
2026-02-19 04:00:00;6677.4325;5487.61014710315
2026-02-19 05:00:00;4024.84325;5329.457568623568
2026-02-19 06:00:00;3977.13325;3806.8379290283956
2026-02-19 07:00:00;4271.30625;3853.603598098558
2026-02-19 08:00:00;2360.766;3888.6017473960865
2026-02-19 09:00:00;1678.72375;2813.9620649132485
2026-02-19 10:00:00;10733.1515;2769.618078035298
2026-02-19 11:00:00;4053.29025;2979.830666390919
2026-02-19 12:00:00;2933.21425;2926.7105445292736
2026-02-19 13:00:00;3201.08125;3840.1902095851956
2026-02-19 14:00:00;2166.5775;4101.108387476323
2026-02-19 15:00:00;2915.689;3995.040072917771
2026-02-19 16:00:00;3801.6605;3034.5409115727566
2026-02-19 17:00:00;3410.82375;3376.2733814979583
2026-02-19 18:00:00;1596.82225;3418.0588090831
2026-02-19 19:00:00;2002.85725;2466.2408781096033
2026-02-19 20:00:00;4316.30025;2851.8704147613334
2026-02-19 21:00:00;4116.61075;3981.538146599306
2026-02-19 22:00:00;3227.96925;4010.429013580542
2026-02-19 23:00:00;3393.52525;3530.280876536121
