TimeStamp;real;forecast
2026-02-11 00:00:00;2366.50825;2735.308682189717
2026-02-11 01:00:00;2711.8525;2738.469687799793
2026-02-11 02:00:00;2083.15775;2632.622175898687
2026-02-11 03:00:00;2465.2165000000005;2417.7830090290727
2026-02-11 04:00:00;2897.0037500000003;2483.4732160061785
2026-02-11 05:00:00;2676.7915000000003;2600.4192131562118
2026-02-11 06:00:00;2365.58925;2729.810205980083
2026-02-11 07:00:00;3238.81225;2748.756689077065
2026-02-11 08:00:00;2706.17225;2977.9651917050387
2026-02-11 09:00:00;3475.922;2929.146273115783
2026-02-11 10:00:00;2244.5915;2750.5677220648586
2026-02-11 11:00:00;2952.637;2738.690999480919
2026-02-11 12:00:00;1686.3925;2671.9137083426162
2026-02-11 13:00:00;3154.1665;2913.0228328447115
2026-02-11 14:00:00;2227.19575;2778.934617727654
2026-02-11 15:00:00;2543.43525;2783.8047485085
2026-02-11 16:00:00;2576.265;2939.754782979035
2026-02-11 17:00:00;1333.5;3800.2017051769976
2026-02-11 18:00:00;3750.33275;4033.1378323331055
2026-02-11 19:00:00;3982.69175;2972.5228897770885
2026-02-11 20:00:00;3578.161;3271.2860902553293
2026-02-11 21:00:00;2482.21025;2983.0773813046926
2026-02-11 22:00:00;2358.59375;2738.7423346574187
2026-02-11 23:00:00;2322.409;2527.895622439456
