TimeStamp;real;forecast
2026-02-11 00:00:00;2366.50825;3227.4913558616086
2026-02-11 01:00:00;2711.8525;3227.4913558616086
2026-02-11 02:00:00;2083.15775;3657.5805791022535
2026-02-11 03:00:00;7272.171249999999;6854.0734940222355
2026-02-11 04:00:00;5434.1665;2677.0197668256587
2026-02-11 05:00:00;2676.95;3505.606934780244
2026-02-11 06:00:00;2365.938;3130.446099326092
2026-02-11 07:00:00;2581.7135;3204.354942947044
2026-02-11 08:00:00;1127.592;2066.1997384822703
2026-02-11 09:00:00;1450.99825;1938.8939201708636
2026-02-11 10:00:00;1053.50825;1796.8495865856664
2026-02-11 11:00:00;1313.9562500000002;1917.5654914481602
2026-02-11 12:00:00;1881.077;1878.9220734997016
2026-02-11 13:00:00;1769.6616;4468.258916988153
2026-02-11 14:00:00;1658.2462;3550.5705428871356
2026-02-11 15:00:00;1546.8308;5009.095131677114
2026-02-11 16:00:00;1435.4154;2566.9028973701297
2026-02-11 17:00:00;1324.0;2707.1345036453154
2026-02-11 18:00:00;3859.5245;3414.9882599820453
2026-02-11 19:00:00;3982.69175;1839.5676645708468
2026-02-11 20:00:00;3578.161;2726.4334742996807
2026-02-11 21:00:00;2482.21025;2557.9808057159185
2026-02-11 22:00:00;2358.59375;2544.5895343269194
2026-02-11 23:00:00;2322.409;2449.8470672047943
