TimeStamp;real;forecast;prediction_time_seconds
2026-02-18 00:00:00;3148.755;3159.3665625019376;32.08528999995906
2026-02-18 01:00:00;3693.88525;3122.2017524042744;32.08528999995906
2026-02-18 02:00:00;2656.90925;3200.532164522358;32.08528999995906
2026-02-18 03:00:00;2022.2365;2965.6356574015326;32.08528999995906
2026-02-18 04:00:00;2714.6582499999995;3239.607820363768;32.08528999995906
2026-02-18 05:00:00;3138.4825;3220.2176061729797;32.08528999995906
2026-02-18 06:00:00;3251.8665;3318.177907125;32.08528999995906
2026-02-18 07:00:00;3767.39;3658.868100316326;32.08528999995906
2026-02-18 08:00:00;3704.433;3608.305774416175;32.08528999995906
2026-02-18 09:00:00;4502.9775;3585.3945000405106;32.08528999995906
2026-02-18 10:00:00;2839.84175;3491.4221602970715;32.08528999995906
2026-02-18 11:00:00;3027.432;3599.8403298729068;32.08528999995906
2026-02-18 12:00:00;3523.302;3355.6587271728613;32.08528999995906
2026-02-18 13:00:00;3065.7345000000005;3561.742769759855;32.08528999995906
2026-02-18 14:00:00;3746.467;3766.0305972910182;32.08528999995906
2026-02-18 15:00:00;3357.258;3485.8446923474085;32.08528999995906
2026-02-18 16:00:00;3739.85675;3662.4097847874305;32.08528999995906
2026-02-18 17:00:00;5383.882;4371.947870024372;32.08528999995906
2026-02-18 18:00:00;5460.044;4755.323028380811;32.08528999995906
2026-02-18 19:00:00;3423.06;3683.075789914268;32.08528999995906
2026-02-18 20:00:00;4988.140666666666;4114.281183067366;32.08528999995906
2026-02-18 21:00:00;3943.082;3887.936295747833;32.08528999995906
2026-02-18 22:00:00;3280.73875;3583.064587952729;32.08528999995906
2026-02-18 23:00:00;4189.85225;3393.3667462461212;32.08528999995906
